FECHA DE EMISION,PAGADOR,Nº DE CUIT,Razón Social,Establecimiento,Total Presentado,Total Descuento,Saldo,IVA 21%,"IVA 10,5%",Retención IB,Percepción AFIP,Archivo PDF
31/03/2025,007 BANCO GALICIA,30 50000173 5,EL PIBE DORREGO SA,COSTA,"105.051.857,69","9.334.171,25",95717686.44,1165544.4,No encontrado,2451991.91,166398.52,comprobante-MEN-COM00101075060073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,EL PIBE DORREGO SA,COSTA,"23.290.671,66","2.407.685,57",20882986.09,317436.23,No encontrado,533400.06,45242.55,comprobante-MEN-COM00101075480073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,EL PIBE DORREGO SA,COSTA,"30.571.740,34","3.387.239,78",27184500.56,455395.58,No encontrado,696024.92,64676.13,comprobante-MEN-COM00101075550073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,GOURMAND SA,TOSTADO,"9.829.449,00","688.013,46",9141435.54,76883.48,No encontrado,234395.53,10615.36,comprobante-MEN-COM00104498820073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,GOURMAND SA,TOSTADO,"116.000,00","4.268,49",111731.51,243.59,No encontrado,2864.9,No encontrado,comprobante-MEN-COM00104498900073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,GOURMAND SA,TOSTADO,"430.050,00","45.808,53",384241.47,6118.74,No encontrado,9852.3,699.86,comprobante-MEN-COM00104499240073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,GOURMAND SA,TOSTADO,"4.235.165,50","388.291,01",3846874.49,49091.64,No encontrado,98637.55,6332.23,comprobante-MEN-COM00104499320073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,EL PIBE DORREGO SA,COSTA,"86.857.924,98","3.829.598,71",83028326.27,288236.84,No encontrado,2127824.38,40980.22,comprobante-MEN-COM00347939920073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,EL PIBE DORREGO SA,COSTA,"27.500,00","1.271,47",26228.53,103.95,No encontrado,672.52,No encontrado,comprobante-MEN-COM00347940080073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,EL PIBE DORREGO SA,COSTA,"26.333.866,01","1.454.287,54",24879578.47,138252.74,No encontrado,637937.85,19750.34,comprobante-MEN-COM00347940320073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,EL PIBE DORREGO SA,COSTA,"29.371.531,35","1.343.770,14",28027761.21,105913.35,No encontrado,718752.23,14754.52,comprobante-MEN-COM00347940400073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,RABBLE SA,CONCHINCHINA,"1.360.616,67","63.611,48",1297005.19,5143.11,No encontrado,33256.53,720.74,comprobante-MEN-COM00526685890073382025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,RABBLE SA,CONCHINCHINA,"373.400,00","17.431,11",355968.89,1411.44,No encontrado,9127.4,171.07,comprobante-MEN-COM00526686130073382025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30-50000173-5,9 REINAS SA,RIBS INFANTA,"26.517.805,71","1.111.216,05",25406589.66,78075.73,No encontrado,651450.7,9899.82,comprobante-MEN-COM00610517930071272025-03-31.pdf
